Date,Payload_weight,Total_distance_miles,Avg_traffic_congestion,Avg_temp,Avg_Precipitation,Avg_snow,vehicle_type,Origin_depot,Destination_depot,Avg_Speed_mph,Distance_highway,Distance_city,dispatch_time,total_payload,Fuel_consumed_gallons(Target Variable),Fuel_efficiency
17-07-2023,10.56,34.4,Low,medium,high,Medium,VOLVO FL 420,Liverpool,Manchester,53,27,6,noon,11.44,3.801525607,9.048998627
05-11-2023,9.68,35.5,Medium,medium,low,Low,VOLVO FL 420,Manchester,Liverpool,46,28,7,night,9.68,3.811663008,9.31352009
04-11-2023,8.8,34.4,Low,high,high,Medium,SCANIA G 460,Liverpool,Manchester,40,27,6,night,7.04,3.977995999,8.647570286
29-08-2023,9.68,35.5,Low,high,high,Low,VOLVO FH 520,Manchester,Liverpool,56,28,7,night,10.56,4.148148148,8.558035715
02-11-2023,11.44,34.4,Low,low,low,Medium,DAF XG 530,Liverpool,Manchester,51,27,6,noon,7.04,4.165114666,8.259076342
29-05-2023,12.32,34.4,Low,low,medium,Medium,SCANIA G 460,Liverpool,Manchester,46,27,6,morning,10.56,4.18736421,8.215191771
31-07-2023,8.8,35.5,High,low,low,Low,VOLVO FL 420,Manchester,Liverpool,36,28,7,noon,10.56,4.278213443,8.297856213
04-02-2024,10.56,34.4,Low,low,medium,Low,SCANIA G 460,Liverpool,Manchester,37,27,6,morning,7.04,4.278393866,8.040400458
13-05-2023,11.44,34.4,High,high,low,Medium,IVECO NP 460,Liverpool,Manchester,50,27,6,night,8.8,4.391946325,7.832518308
06-04-2023,7.04,35.5,Medium,medium,low,Medium,DAF XG 530,Manchester,Liverpool,44,28,7,night,9.68,4.442788977,7.990476294
28-06-2023,11.44,44.4,High,medium,medium,Medium,MAN TGM 18.250,Leeds,Manchester,53,35,8,night,11.44,4.519130833,9.824898114
27-01-2024,9.68,34.4,High,high,high,Medium,IVECO NP 460,Liverpool,Manchester,37,27,6,noon,11.44,4.535161966,7.585175625
28-01-2024,12.32,35.5,High,low,high,High,VOLVO FL 420,Manchester,Liverpool,51,28,7,noon,10.56,4.603457739,7.711594634
23-05-2023,10.56,35.5,High,low,medium,Medium,IVECO NP 460,Manchester,Liverpool,41,28,7,night,7.04,4.684742747,7.577790696
02-05-2023,12.32,35.5,Medium,low,medium,Medium,SCANIA G 460,Manchester,Liverpool,42,28,7,morning,10.56,4.70160192,7.550617982
31-10-2023,10.56,35.5,Low,medium,low,High,IVECO NP 460,Manchester,Liverpool,35,28,7,morning,8.8,4.892953535,7.255331518
12-11-2023,8.8,44.4,Medium,low,low,Low,IVECO NP 460,Leeds,Manchester,44,35,8,night,11.44,4.95568819,8.959401459
16-11-2023,11.44,45.5,Low,low,low,High,MAN TGM 18.250,Manchester,Leeds,30,36,9,morning,11.44,4.96114801,9.171264374
23-04-2023,9.68,35.5,Low,high,medium,High,VOLVO FH 520,Manchester,Liverpool,33,28,7,morning,9.68,5.009840759,7.086053571
23-08-2023,11.44,35.5,High,low,high,High,SCANIA G 460,Manchester,Liverpool,50,28,7,morning,7.04,5.070689027,7.001020929
22-09-2023,9.68,45.5,Medium,low,high,Low,IVECO NP 460,Manchester,Leeds,60,36,9,night,10.56,5.208898535,8.735052083
09-02-2024,11.44,44.4,Medium,medium,high,Medium,VOLVO FL 420,Leeds,Manchester,58,35,8,noon,12.32,5.221142938,8.50388517
18-04-2023,11.44,44.4,Medium,medium,medium,Medium,VOLVO FL 420,Leeds,Manchester,48,35,8,night,9.68,5.221142938,8.50388517
30-05-2023,8.8,34.4,Low,low,high,Low,MAN TGX 18.400,Liverpool,Manchester,55,27,6,morning,10.56,5.384615385,6.388571428
21-06-2023,8.8,44.4,Medium,high,low,Low,IVECO NP 460,Leeds,Manchester,33,35,8,night,7.04,5.386617597,8.242649344
25-10-2023,8.8,45.5,Low,medium,high,Medium,DAF XG 530,Manchester,Leeds,57,36,9,noon,10.56,5.426549393,8.384702083
14-06-2023,9.68,34.4,Medium,low,medium,Medium,IVECO EuroCargo ml180e28,Liverpool,Manchester,42,27,6,morning,7.04,5.551519689,6.196501486
25-06-2023,9.68,44.4,High,medium,high,Medium,DAF XG 530,Leeds,Manchester,49,35,8,noon,10.56,5.611694345,7.912048888
27-09-2023,8.8,45.5,Medium,high,high,Low,VOLVO FH 520,Manchester,Leeds,44,36,9,night,9.68,5.614035088,8.1046875
27-04-2023,8.8,44.4,High,low,medium,Medium,SCANIA G 460,Leeds,Manchester,56,35,8,noon,12.32,5.641671345,7.870008245
01-05-2023,8.8,44.4,High,medium,high,Medium,SCANIA G 460,Leeds,Manchester,41,35,8,noon,9.68,5.641671345,7.870008245
10-06-2023,12.32,45.5,High,high,medium,Low,IVECO NP 460,Manchester,Leeds,41,36,9,noon,7.04,5.661846234,8.036247916
30-10-2023,12.32,44.4,Medium,low,medium,Medium,SCANIA G 460,Leeds,Manchester,41,35,8,night,10.56,5.751066634,7.720307001
14-02-2023,10.56,44.4,High,high,medium,Low,DAF XG 530,Leeds,Manchester,30,35,8,noon,11.44,6.035460737,7.356522051
28-03-2023,10.56,45.5,Medium,high,low,Medium,SCANIA G 460,Manchester,Leeds,42,36,9,night,10.56,6.044916754,7.526985375
30-05-2023,12.32,34.4,High,low,high,Low,IVECO EuroCargo ml180e28,Liverpool,Manchester,39,27,6,noon,9.68,6.165440108,5.579488146
07-10-2023,8.8,35.5,Low,high,medium,Medium,SCANIA R 450,Manchester,Liverpool,30,28,7,morning,9.68,6.167129201,5.756325
21-08-2023,10.56,44.4,High,medium,low,Medium,VOLVO FH 520,Leeds,Manchester,59,35,8,morning,11.44,6.176145472,7.18894984
18-03-2023,12.32,35.5,Medium,low,medium,Medium,SCANIA R 450,Manchester,Liverpool,58,28,7,morning,8.8,6.286713424,5.646829688
11-12-2023,10.56,34.4,High,high,medium,High,IVECO EuroCargo ml180e28,Liverpool,Manchester,44,27,6,night,7.04,6.302449888,5.458194926
05-04-2023,9.68,44.4,Low,high,high,Low,SCANIA R 450,Leeds,Manchester,53,35,8,noon,8.8,6.523809524,6.805839416
14-06-2023,10.56,34.4,High,high,low,Medium,MAN TGX 18.400,Liverpool,Manchester,54,27,6,night,9.68,6.554135285,5.248594743
02-05-2023,10.56,73.2,Low,medium,low,Low,MAN TGM 18.250,Leeds,Liverpool,46,58,14,night,10.56,6.561118243,11.15663478
20-10-2023,10.56,35.5,High,high,high,Low,MAN TGX 18.400,Manchester,Liverpool,51,28,7,night,9.68,6.571612979,5.402022321
03-02-2024,7.04,35.5,Medium,high,high,High,DAF XF 105.510,Manchester,Liverpool,47,28,7,morning,10.56,6.759244172,5.252066518
26-10-2023,9.68,35.5,High,low,low,Low,MAN TGX 18.400,Manchester,Liverpool,32,28,7,noon,11.44,6.785904707,5.231432142
16-01-2024,10.56,34.4,Low,low,medium,High,MAN TGX 18.400,Liverpool,Manchester,32,27,6,night,8.8,6.845430186,5.025250286
22-11-2023,11.44,44.4,Low,high,low,Low,SCANIA R 450,Leeds,Manchester,44,35,8,noon,7.04,6.86716792,6.465547445
02-12-2023,10.56,34.4,Medium,high,low,Medium,DAF XF 105.510,Liverpool,Manchester,38,27,6,night,12.32,6.941808596,4.955480913
17-03-2023,8.8,73.9,Low,low,high,High,MAN TGM 18.250,Liverpool,Leeds,47,59,14,morning,10.56,7.015959048,10.53312876
06-11-2023,9.68,44.4,Low,medium,medium,Low,DAF XF 105.510,Leeds,Manchester,46,35,8,noon,12.32,7.069143447,6.280817518
17-01-2024,12.32,73.2,High,high,low,Low,MAN TGM 18.250,Leeds,Liverpool,50,58,14,noon,9.68,7.131650264,10.264104
06-12-2023,10.56,73.2,Low,medium,high,High,MAN TGM 18.250,Leeds,Liverpool,59,58,14,noon,12.32,7.290131381,10.0409713
04-09-2023,10.56,35.5,High,high,medium,High,MAN TGX 18.400,Manchester,Liverpool,47,28,7,noon,8.8,7.301792199,4.861820089
18-05-2023,8.8,44.4,Medium,medium,low,Medium,SCANIA R 450,Leeds,Manchester,47,35,8,morning,11.44,7.305497787,6.077614599
